,날짜,전체도시이름,도단위이름,시군구이름,최소기온,최대기온,오전날씨,오전비확률,오후날씨,오후비확률,관광지수,관광지표
515,2023-04-27,경기 부천시,경기,부천시,8.0,19.0,구름많음,30%,흐림,40%,-0.41,나쁨
516,2023-04-27,제주 제주시,제주,제주시,13.0,22.0,구름많음,30%,흐림,40%,0.03,보통
517,2023-04-27,전북 남원시,전북,남원시,7.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
518,2023-04-27,전북 고창군,전북,고창군,8.0,21.0,구름많음,30%,흐림,40%,-0.18,보통
519,2023-04-27,인천 강화군,인천,강화군,10.0,18.0,구름많음,30%,흐림,40%,-0.47,나쁨
520,2023-04-27,경남 고성군,경남,고성군,9.0,20.0,구름많음,30%,흐림,40%,0.01,보통
521,2023-04-27,강원 동해시,강원,동해시,12.0,21.0,구름많음,30%,구름많음,30%,-0.07,보통
522,2023-04-27,충북 보은군,충북,보은군,5.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
523,2023-04-27,전남 장성군,전남,장성군,6.0,22.0,구름많음,30%,흐림,40%,-0.01,보통
524,2023-04-27,전남 담양군,전남,담양군,6.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
525,2023-04-27,강원 삼척시,강원,삼척시,12.0,22.0,구름많음,30%,구름많음,30%,-0.07,보통
526,2023-04-27,충북 단양군,충북,단양군,6.0,24.0,구름많음,30%,흐림,40%,-0.41,나쁨
527,2023-04-27,강원 속초시,강원,속초시,11.0,20.0,구름많음,30%,구름많음,30%,-0.15,보통
528,2023-04-27,전남 나주시,전남,나주시,6.0,23.0,구름많음,30%,흐림,40%,0.07,보통
529,2023-04-27,전남 장흥군,전남,장흥군,7.0,21.0,구름많음,30%,흐림,40%,0.01,보통
530,2023-04-27,강원 양구군,강원,양구군,4.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
531,2023-04-27,충북 괴산군,충북,괴산군,5.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
532,2023-04-27,대전 중구,대전,중구,8.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
533,2023-04-27,서울 중구,서울,중구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
534,2023-04-27,전남 구례군,전남,구례군,6.0,22.0,구름많음,30%,흐림,40%,-0.24,보통
535,2023-04-27,강원 양양군,강원,양양군,11.0,21.0,구름많음,30%,구름많음,30%,-0.19,보통
536,2023-04-27,전남 진도군,전남,진도군,9.0,20.0,구름많음,30%,흐림,40%,-0.01,보통
537,2023-04-27,충북 영동군,충북,영동군,5.0,24.0,구름많음,30%,흐림,40%,-0.41,나쁨
538,2023-04-27,전남 광양시,전남,광양시,10.0,21.0,구름많음,30%,흐림,40%,-0.05,보통
539,2023-04-27,전남 목포시,전남,목포시,11.0,20.0,구름많음,30%,흐림,40%,-0.01,보통
540,2023-04-27,경남 고성군,경남,고성군,10.0,21.0,구름많음,30%,흐림,40%,0.01,보통
541,2023-04-27,충북 청주시,충북,청주시,9.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
542,2023-04-27,대전 동구,대전,동구,8.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
543,2023-04-27,전남 신안군,전남,신안군,10.0,20.0,구름많음,30%,흐림,40%,-0.01,보통
544,2023-04-27,충북 증평군,충북,증평군,6.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
545,2023-04-27,부산 중구,부산,중구,13.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
546,2023-04-27,충북 충주시,충북,충주시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
547,2023-04-27,전남 영광군,전남,영광군,8.0,22.0,구름많음,30%,흐림,40%,-0.03,보통
548,2023-04-27,전남 순천시,전남,순천시,9.0,21.0,구름많음,30%,흐림,40%,0.01,보통
549,2023-04-27,강원 강릉시,강원,강릉시,13.0,23.0,구름많음,30%,구름많음,30%,-0.09,보통
550,2023-04-27,충북 제천시,충북,제천시,4.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
551,2023-04-27,충북 음성군,충북,음성군,4.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
552,2023-04-27,전남 보성군,전남,보성군,6.0,20.0,구름많음,30%,흐림,40%,0.01,보통
553,2023-04-27,전남 영암군,전남,영암군,7.0,22.0,구름많음,30%,흐림,40%,0.07,보통
554,2023-04-27,강원 고성군,강원,고성군,10.0,21.0,구름많음,30%,구름많음,30%,-0.36,나쁨
555,2023-04-27,강원 고성군,강원,고성군,9.0,20.0,구름많음,30%,흐림,40%,-0.36,나쁨
556,2023-04-27,전남 무안군,전남,무안군,8.0,21.0,구름많음,30%,흐림,40%,-0.03,보통
